,x
Sample_1,284.45309087573
Sample_2,327.116326635721
Sample_3,255.979353665828
Sample_4,607.848167179377
Sample_5,668.090071468171
Sample_6,746.650391289239
Log2 Fold change,1.22118615362748
p value,0.000156979847981252
