,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Log2 Fold change,p value
0610005C13Rik,2542.04035713252,2539.29636794485,3085.01342713998,2390.00183374177,2558.34642028119,2638.65151716007,-0.101009073239547,1
0610007C21Rik,1474.4317152202,1439.06344139746,1447.93139846771,1426.95637871201,1433.3952801155,1316.7985993805,-0.0637064992831124,1
0610007L01Rik,1950.6113939012,3078.67675660353,1631.84107922076,2157.04570122834,1982.5840257082,2112.40777796308,-0.0395739625973055,1
0610007P08Rik,495.157854280597,529.503200012854,504.560497195559,590.395696662051,546.97427484434,549.136828416299,0.140272803882899,1
0610007P14Rik,2165.92742252217,1842.73984692227,2044.4467360398,1597.47066127339,1816.81507254543,1751.46998170028,-0.227436191176973,1
0610007P22Rik,205.999469690255,218.586479161835,185.339030603468,169.313477754609,172.412365407846,198.307668951636,-0.174142469507212,1
0610008F07Rik,79.70833751834,91.4713557199821,94.8135400773524,73.2490932129868,91.4260066107659,90.0857926421974,-0.0442199270476084,1
0610009B14Rik,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,2.67581562303557,0.773826454575152,1
0610009B22Rik,524.142704287266,595.637419641386,558.875791511228,537.560285164159,550.770510412953,563.407845072489,-0.0193091686884755,1
0610009D07Rik,663.546030509818,728.76474486765,670.365079843391,648.034327387025,679.842519745798,729.903039394701,-0.00216382351141386,1
0610009L18Rik,7.24621250166728,10.7360746150214,9.05254905261154,10.8072432609325,14.8685893104014,12.7844524211699,0.54158245789344,1
0610009O20Rik,1037.58861869112,1182.25653660615,1001.02134523878,1091.53156935418,1123.36937534543,1107.49035508972,0.0485059132845476,1
0610010B08Rik,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.949058892153279,0.297312847003952,0.226812973145378,1
0610010F05Rik,482.045660229961,520.055454351635,409.270507168069,447.099656387466,411.575206230472,474.808616665311,-0.0798544870481961,1
0610010K14Rik,240.505243507719,225.457566915449,243.465924520237,222.148889252501,267.318254623173,201.875423115683,-0.0467043620895819,1
0610010O12Rik,83.1589149000863,51.9626011367034,76.7084419721293,60.4405086074371,51.5655331403281,77.5986530680314,-0.154915268155741,1
0610011F06Rik,1793.26506529356,1889.11968925916,1829.09135857767,1820.82035533266,1940.82543445346,1680.11489841933,-0.020509140136212,1
0610011L14Rik,602.125753114733,679.808244623153,570.310590314527,655.239156227647,631.12416328193,659.737207501769,0.0744241425792492,1
0610012G03Rik,497.918316185994,590.484103826175,528.382994702431,567.98067360234,550.137804484851,572.327230482607,0.0693521255758081,1
0610012H03Rik,477.904967371866,716.740341298827,479.785099788411,495.131848658276,658.963224118427,744.174056050892,0.195076599969816,1
0610030E20Rik,1658.00243192911,1536.97644188646,1683.29767383561,1812.01445341634,1618.14541112134,1294.2028230082,-0.0600831525047766,1
0610031J06Rik,1032.06769488032,1065.44804479472,1038.1844413495,952.238211768828,919.638066496527,956.455428811713,-0.148902026550417,1
0610037L13Rik,397.851572115351,454.780120692305,390.212509162571,414.277658335744,443.843208563683,401.075030608331,0.0211367616757327,1
0610037P05Rik,492.3973923752,519.196568382433,551.252592309029,479.12111790134,450.170267844705,536.055063148125,-0.0918346936866512,1
0610038B21Rik,1.0351732145239,4.7238728306094,6.19384935178684,7.60509710954507,7.27611817317514,2.08118992902766,0.635621281093556,1
0610039K10Rik,5.86598154896875,1.28832895380256,1.42934985041235,2.00134134461712,2.84717667645984,2.08118992902766,0.0177279252908288,1
0610040B10Rik,32.7804851265901,24.4782501222487,20.4873478559103,19.6131451772478,23.726472303832,23.4877149133122,-0.212327363101253,1
0610040F04Rik,1.0351732145239,0.429442984600855,0.476449950137449,0.400268268923425,0.949058892153279,0.891938541011855,0.227190048863907,1
0610040J01Rik,854.017901982215,998.454939196988,857.133460297271,775.319636904674,734.255229562587,962.9963114458,-0.136451045948595,1
0610043K17Rik,23.8089839340496,28.7726799682573,34.7808463600338,39.6265586234191,18.0321189509123,38.9479829575177,0.0808982484926613,1
